term,estimate,std.error,statistic,p.value,crime_type
(Intercept),-21944.243094784608,13935.410973619391,-1.5747108668934442,0.15397094519933022,Assault
year,11.287774346335969,6.903837931615512,1.6349999026837825,0.1406885935807531,Assault
(Intercept),7014.312866115805,6390.860980885665,1.0975536609378318,0.3043328947496161,Break and Enter
year,-3.3762065537097987,3.166140456068693,-1.0663476875255051,0.3173873626296184,Break and Enter
(Intercept),32.847941641005136,248.6855959651897,0.13208622523358007,0.8981777508686167,Homicide
year,-0.014365788739205822,0.1232030439375672,-0.11660254714555304,0.9100490698063535,Homicide
(Intercept),20780.42779823353,4152.653567138469,5.00413228849066,0.0010474062455748969,Robbery
year,-10.22654928107236,2.057294705404937,-4.970872308281895,0.0010919066081636088,Robbery
